id,seni, teknologidaninovasi, bisnisdankewirausahaan, debat, karyatulis, olahraga, olimpiadebahasainggris, programming, sains,prize,regis_price
121959,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
671156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.025,0.044444444444444446
131933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777778
365839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
259179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0825,0.6666666666666666
644168,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.4444444444444444
110269,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006,0.05555555555555555
732181,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004,0.05555555555555555
54887,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23,0.0
137338,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
999891,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.185,0.6666666666666666
521431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0
954699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0
87499,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.4444444444444444
899160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
912757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0
175204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0
191336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
278168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111
41091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.12222222222222222
329366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333
64821,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
787202,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14444444444444443
321880,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
718316,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
327070,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
199042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
214177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184780,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347450,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
421910,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.2222222222222222
989437,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.13333333333333333
258796,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.5555555555555556
486233,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.4
917041,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195,0.05555555555555555
500187,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26666666666666666
156731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
870911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0705,0.7777777777777778
384682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.7777777777777778
149504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.056,0.0
654812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,0.3333333333333333
527036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
452367,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18888888888888888
65726,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.4444444444444444
129982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
